SR NO,INDEX,Company Name,Symbol,INDUSTRY,ISIN Code
264,NIFTY 200,Glenmark Pharmaceuticals Ltd.,GLENMARK,Pharmaceuticals & Drugs,INE935A01035
265,NIFTY 200,Godfrey Phillips India Ltd.,GODFRYPHLP,Cigarettes/Tobacco,INE260B01028
266,NIFTY 200,Godrej Consumer Products Ltd.,GODREJCP,Household & Personal Products,INE102D01028
267,NIFTY 200,Godrej Properties Ltd.,GODREJPROP,Construction - Real Estate,INE484J01027
268,NIFTY 200,Grasim Industries Ltd.,GRASIM,Cement & Construction Materials,INE047A01021
269,NIFTY 200,HCL Technologies Ltd.,HCLTECH,IT - Software,INE860A01027
270,NIFTY 200,HDFC Asset Management Company Ltd.,HDFCAMC,Finance - Asset Management,INE127D01025
271,NIFTY 200,HDFC Bank Ltd.,HDFCBANK,NIFTY PRIVATE BANK,INE040A01034
272,NIFTY 200,HDFC Life Insurance Company Ltd.,HDFCLIFE,Insurance,INE795G01014
273,NIFTY 200,Havells India Ltd.,HAVELLS,Electric Equipment,INE176B01034
274,NIFTY 200,Hero MotoCorp Ltd.,HEROMOTOCO,Automobile Two & Three Wheelers,INE158A01026
275,NIFTY 200,Hindalco Industries Ltd.,HINDALCO,Metal - Non Ferrous,INE038A01020
276,NIFTY 200,Hindustan Aeronautics Ltd.,HAL,Defence,INE066F01020
277,NIFTY 200,Hindustan Petroleum Corporation Ltd.,HINDPETRO,Refineries,INE094A01015
278,NIFTY 200,Hindustan Unilever Ltd.,HINDUNILVR,Household & Personal Products,INE030A01027
279,NIFTY 200,Hindustan Zinc Ltd.,HINDZINC,Metal - Non Ferrous,INE267A01025
280,NIFTY 200,Hitachi Energy India Ltd.,POWERINDIA,Electric Equipment,INE07Y701011
281,NIFTY 200,Housing & Urban Development Corporation Ltd.,HUDCO,Finance - Housing,INE031A01017
282,NIFTY 200,Hyundai Motor India Ltd.,HYUNDAI,Automobiles - Passenger Cars,INE0V6F01027
283,NIFTY 200,ICICI Bank Ltd.,ICICIBANK,NIFTY PRIVATE BANK,INE090A01021
